,Name,Age,Height,Weight,NOC,Medal
83507,Peter Treacy Grant,22.0,180.0,70.0,AUS,0
83928,Dean H. Greenaway,25.0,175.0,78.0,IVB,0
83968,Paul Haydon Greene,23.0,184.0,78.0,AUS,0
84660,Hamil O. Grimes,19.0,175.0,69.0,BAR,0
84718,David Allan Grindley,19.0,188.0,79.0,GBR,0
84872,Amos Grodzinowsky,20.0,174.0,65.0,ISR,0
85877,German Guenard Soltero,17.0,176.0,66.0,PUR,0
86135,George James Guida,23.0,175.0,73.0,USA,0
87056,"Eduardo ""Eddy"" Gutirrez James",24.0,187.0,78.0,CUB,0
87253,Robert Guy,32.0,188.0,79.0,TTO,0
87576,Istvn Gyulai,21.0,180.0,73.0,HUN,0
87700,Jean-Pierre Haarhoff,24.0,184.0,78.0,FRA,0
87736,Karl-Friedrich Haas,20.0,186.0,72.0,GER,0
87739,Karl-Friedrich Haas,25.0,186.0,72.0,GER,Silver
87940,Piotr Haczek,23.0,188.0,72.0,POL,0
88085,Carroll Barse Haff,20.0,185.0,70.0,USA,0
89433,"Frdric ""Fred"" Hammer",22.0,178.0,67.0,LUX,0
89601,Kassem Hamz,22.0,166.0,62.0,LIB,0
89854,Mark Ian Handelsman,23.0,183.0,70.0,ISR,0
89990,John Austin Thomas Hanlon,22.0,187.0,74.0,GBR,0
90272,Jens Oluf Smedegaard Hansen,23.0,182.0,65.0,DEN,0
90791,Oskar Hardmeier,22.0,168.0,62.0,SUI,0
91006,Abdalelah Haroun Hassan,19.0,185.0,80.0,QAT,0
91036,"Anthony ""Tony"" Harper",29.0,188.0,66.0,BER,0
91113,"Otis Harris, Jr.",22.0,185.0,83.0,USA,Silver
91130,Alvin Leonardo Harrison,22.0,188.0,80.0,USA,0
91132,Alvin Leonardo Harrison,26.0,188.0,80.0,USA,Silver
91502,Mohamed Mehdi Hasan,20.0,167.0,60.0,BAN,0
91593,Sajjad Hashemi Ahangari,20.0,178.0,69.0,IRI,0
91733,Ibrahim Mohamed Hassan,25.0,185.0,76.0,GHA,0
91765,Issaka Hassane,25.0,190.0,78.0,CHA,0
92039,"Gregory ""Greg"" Haughton",26.0,185.0,79.0,JAM,Bronze
92408,Hirotada Hayase,19.0,174.0,67.0,JPN,0
92410,Hirotada Hayase,24.0,174.0,67.0,JPN,0
92857,Adem Hecini,28.0,175.0,66.0,ALG,0
92858,Amar Hecini,24.0,175.0,70.0,ALG,0
93034,Raymond Alfred Heerenveen,27.0,176.0,62.0,AHO,0
93770,Voitto Valdemar Hellstn,24.0,160.0,72.0,FIN,Bronze
93772,Voitto Valdemar Hellstn,28.0,160.0,72.0,FIN,0
94326,Georges Henry,28.0,173.0,73.0,FRA,0
94369,Tabarie Joil Henry,20.0,185.0,75.0,ISV,0
94370,Tabarie Joil Henry,24.0,185.0,75.0,ISV,0
94486,ngel Valentn de las Heras Lzaro,25.0,177.0,67.0,ESP,0
94960,Roberto Hernndez Prendes,25.0,179.0,74.0,CUB,0
95124,"Bernhard Erich ""Bernd"" Herrmann",24.0,191.0,80.0,FRG,0
95139,Max Herrmann,27.0,176.0,67.0,GER,0
95315,"Timothy ""Tim"" Hesse",24.0,170.0,68.0,GHA,0
95417,Felix Heuertz,25.0,170.0,65.0,LUX,0
95668,Jos Jacinto Hidalgo,25.0,178.0,68.0,VEN,0
95785,Francis Peter Higgins,28.0,179.0,67.0,GBR,0
95932,Clinton Rory Hill,24.0,186.0,77.0,AUS,0
96001,William Hill,19.0,189.0,64.0,HKG,0
96044,"Harry Livingston Hillman, Jr.",22.0,180.0,66.0,USA,Gold
96047,"Harry Livingston Hillman, Jr.",24.0,180.0,66.0,USA,0
96154,"Douglas ""Doug"" Hinds",26.0,178.0,64.0,CAN,0
96981,Charles Teilmann Hoff,21.0,182.0,68.0,NOR,0
